,"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231,19980101-19981231,19970101-19971231
9,entity00164830_udf_CF_2020227111623763_CashFlowsFromUsedInInvestingActivities,단기금융자산의 순증감,net Proceeds from sales of short term Financial Instruments,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,단기금융자산의 순증감,,1008733555000.0,-209263058000.0,,,65793100000.0,-806156539000.0,,,,-150465818000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,entity00164830_udf_CF_20202271193639_CashFlowsFromUsedInInvestingActivities,기타채권의 감소,Proceeds from Accounts receivable others,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,기타채권의 감소,,2829951000.0,8188732000.0,5486145000.0,4398915000.0,1214939000.0,8535459000.0,11957206000.0,5225348000.0,1600101000.0,7186438000.0,8389872000.0,2280000.0,65511000.0,1811403000.0,9843733000.0,31018038000.0,29378324000.0,4967260000.0,4900826000.0,4982523000.0,20604000.0,9489599000.0,6902421000.0,6693297000.0,51841000.0,8110000000.0,7162000000.0,6214000000.0,972790000.0,347754000.0,316027000.0,182160000.0,140686584000.0,60652540000.0,59578897000.0,2790874000.0,1416529000.0,84568263000.0,28426657000.0,2607333000.0,27693703000.0,,,,,,,,,,,,,
11,entity00164830_udf_CF_202022711937971_CashFlowsFromUsedInInvestingActivities,관계기업및공동기업투자의 감소,decrease from Investments & Joint venture in associates,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,관계기업및공동기업투자의 감소,,,,,,,18078000000.0,18078000000.0,1113000000.0,1113000000.0,9545331000.0,9237329000.0,4268993000.0,1440463000.0,18924095000.0,679000000.0,1821500000.0,1821500000.0,143548055000.0,19238665000.0,17679665000.0,16853665000.0,7934700000.0,1821700000.0,1621700000.0,1621700000.0,5090313000.0,4337424000.0,4337424000.0,3754090000.0,490807000.0,,,,39869909000.0,20320311000.0,20201275000.0,,,,,,,,,,,,,,,,,,
12,entity00164830_udf_CF_202022711934493_CashFlowsFromUsedInInvestingActivities,장기금융자산의 감소,decrease from sales of long-term financial instruments,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,장기금융자산의 감소,,2215000.0,30765251000.0,7570505000.0,7335734000.0,7325695000.0,156299581000.0,156030316000.0,133138571000.0,80673615000.0,1522002147000.0,1253574332000.0,774861243000.0,195121248000.0,1233268495000.0,957228847000.0,563255245000.0,161584474000.0,1599798825000.0,1136425359000.0,209436522000.0,105776038000.0,1259339673000.0,448130804000.0,352515530000.0,150475067000.0,398583959000.0,285737363000.0,206766528000.0,31045559000.0,947186881000.0,810483291000.0,64852502000.0,43116759000.0,80702648000.0,1305834000.0,1305834000.0,117224181000.0,74764313000.0,82958948000.0,52767883000.0,4733741000.0,,,,,,,,,,,,,
13,entity00164830_udf_CF_202022711939613_CashFlowsFromUsedInInvestingActivities,장기기타채권의 감소,decrease from long-term loans,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,장기기타채권의 감소,,700206000.0,32947457000.0,4213622000.0,868799000.0,837527000.0,2050170000.0,1231220000.0,1225045000.0,11529036000.0,32863519000.0,29322515000.0,68746302000.0,57932561000.0,89694736000.0,44495782000.0,19197723000.0,10545504000.0,101923582000.0,81484435000.0,69875765000.0,7002763000.0,70034423000.0,59956366000.0,38072461000.0,7662010000.0,185967101000.0,63224529000.0,35759288000.0,17461962000.0,17580620000.0,78081596000.0,57977888000.0,26344010000.0,90862139000.0,11164888000.0,52035717000.0,17427159000.0,87171031000.0,24016030000.0,7839349000.0,8017196000.0,,,,,,,,,,,,,
14,dart_ProceedsFromSalesOfInvestmentProperty,투자부동산의 처분,Proceeds from sales of investment property,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,투자부동산의 처분,,,32353000.0,,32353000.0,32353000.0,,,,,,,,,,,,,,,,,15236500000.0,15238724000.0,15500000000.0,,3666402000.0,3682153000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동으로 인한 순현금흐름,유형자산의 처분,,4508899000.0,65938549000.0,,27151360000.0,6713415000.0,63717993000.0,,34114914000.0,12508782000.0,103176457000.0,46779058000.0,26650098000.0,8529804000.0,200862482000.0,125255334000.0,119118248000.0,46117488000.0,45737187000.0,40446384000.0,25982030000.0,7369996000.0,127075010000.0,70110819000.0,21716158000.0,10749911000.0,85864801000.0,51605993000.0,42057159000.0,27251167000.0,42408096000.0,31366316000.0,22872208000.0,18377621000.0,43596212000.0,31452511000.0,43197008000.0,12342525000.0,1112373474000.0,56626652000.0,38004723000.0,64317079000.0,,,,,,,,,,,,,
16,ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,무형자산의 처분,,18000000.0,2984000.0,,,,1995564000.0,,323570000.0,165865000.0,7311255000.0,7118132000.0,6237916000.0,1729550000.0,16789280000.0,12978510000.0,10505562000.0,6064671000.0,24683479000.0,23339000000.0,13877118000.0,12509927000.0,5843993000.0,1387129000.0,767245000.0,614245000.0,4221360000.0,3971785000.0,1711359000.0,1704909000.0,4629691000.0,3804792000.0,2328213000.0,1022155000.0,3494680000.0,2746695000.0,3539368000.0,7826000.0,7601771000.0,474449000.0,333540000.0,5296266000.0,,,,,,,,,,,,,
17,dart_ProceedsFromSalesOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정비유동자산의 처분,Proceeds from sales of non-current assets or disposal groups classified as held for sale or as held for distribution to owners,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,매각예정비유동자산의 처분,,121298896000.0,164123554000.0,163577510000.0,162940817000.0,163440817000.0,1020872543000.0,409971899000.0,383699576000.0,254621025000.0,123204942000.0,63999842000.0,63999842000.0,37099842000.0,96120363000.0,89117997000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,정부보조금의 수령,Proceeds from government grants,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,정부보조금의 수령,,428723000.0,910967000.0,684780000.0,539839000.0,30078000.0,180322000.0,182849000.0,172849000.0,126185000.0,440941000.0,433865000.0,301790000.0,252628000.0,10413980000.0,576904000.0,576736000.0,27039000.0,736168000.0,726386000.0,204131000.0,166063000.0,5782891000.0,576326000.0,549466000.0,542386000.0,1702339000.0,1386781000.0,1000436000.0,964979000.0,1455839000.0,679763000.0,259140000.0,,6960397000.0,5264167000.0,,,1198649000.0,27896000.0,,,1036207000.0,4367388000.0,1738366000.0,3535941000.0,7207699000.0,,,,,,,,
19,entity00164830_udf_CF_2020227163125615_CashFlowsFromUsedInInvestingActivities,기타비유동자산의 감소,decrease from other non-current assets,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,기타비유동자산의 감소,,,2693275000.0,2702382000.0,,,8979600000.0,,,,309801000.0,309949000.0,,,,,,658166000.0,7059480000.0,3500000.0,,89914000.0,669690000.0,1869555000.0,,5889000.0,,,,,426576000.0,,,,,-37341481000.0,-16379189000.0,-413686000.0,6585426000.0,1977666000.0,52975323000.0,-164134936000.0,,,,,,,,,,,,,
20,entity00164830_udf_CF_2020227163137106_CashFlowsFromUsedInInvestingActivities,기타채권의 증가,Purchase of Accounts receivable others,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,기타채권의 증가,,-3253285000.0,-47279148000.0,-22919934000.0,-19943700000.0,-7063733000.0,,-15557000.0,-22007000.0,-23044000.0,,,-44988586000.0,-47044546000.0,-26281624000.0,-704550000.0,-1330533000.0,-89200000.0,-63469000.0,,,-20000000000.0,-25089000.0,-775285000.0,-361497000.0,-361497000.0,-2312377000.0,-2440432000.0,-2348944000.0,-2300000000.0,-6020000000.0,-220589000.0,-5726904000.0,-145073612000.0,,,,-6177180000.0,-6256092000.0,-17693627000.0,-11096705000.0,-21008287000.0,,,,,,,,,,,,,
21,entity00164830_udf_CF_2020227111225321_CashFlowsFromUsedInInvestingActivities,관계기업및공동기업투자의 증가,Purchase of Investments & Joint venture in associates,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,관계기업및공동기업투자의 증가,,-31406018000.0,,,,,-25144240000.0,-24962028000.0,-3300000000.0,-900000000.0,-17306320000.0,-194000.0,,,-26795472000.0,-25000000000.0,,-26700000000.0,-45856960000.0,-40356960000.0,,-2000000000.0,-44133500000.0,-9954500000.0,-6272500000.0,-2400000000.0,-31346858000.0,-18727961000.0,-18027961000.0,,-213608446000.0,-197985816000.0,-200905320000.0,-126191826000.0,-69924255000.0,-17521177000.0,-9069513000.0,-6300000000.0,-185497808000.0,-6513276000.0,-2551274000.0,-21544000.0,,,,,,,,,,,,,
22,entity00164830_udf_CF_2020227111224206_CashFlowsFromUsedInInvestingActivities,장기금융자산의 증가,Increase in long-term financial assets,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,장기금융자산의 증가,,-1101395000.0,-8623875000.0,-8251653000.0,-7434959000.0,-7410963000.0,-228557180000.0,-227606107000.0,-190752296000.0,-119176021000.0,-901274248000.0,-656531455000.0,-403230215000.0,-227808283000.0,-864749889000.0,-566843098000.0,-396413819000.0,-184408875000.0,-634495468000.0,-391245366000.0,-237656150000.0,-145224680000.0,-561192828000.0,-422518850000.0,-352654596000.0,-172392480000.0,-461385620000.0,-321729095000.0,-229869722000.0,-63059364000.0,-216789770000.0,-79591794000.0,-21623553000.0,-12416488000.0,-512101811000.0,-383097100000.0,-294115282000.0,-376676729000.0,-129215773000.0,-66382129000.0,-40082078000.0,-5320679000.0,,,,,,,,,,,,,
23,entity00164830_udf_CF_2020227111223157_CashFlowsFromUsedInInvestingActivities,장기기타채권의 증가,Increase of Long-term Other Bond,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,장기기타채권의 증가,,-497116000.0,-36483383000.0,-718442000.0,-1628181000.0,-1142650000.0,-6048856000.0,-2667592000.0,-1884614000.0,-24636263000.0,-21121009000.0,-19535961000.0,-17249250000.0,-9199955000.0,-38611064000.0,-31082976000.0,-28877567000.0,-29643251000.0,-36447519000.0,-43434391000.0,-29429343000.0,-4362931000.0,-57986741000.0,-51729735000.0,-32295135000.0,-7138809000.0,-89996020000.0,-58901361000.0,-33719822000.0,-13540138000.0,-34333795000.0,-97736412000.0,-70046317000.0,-26039698000.0,,,,-22731149000.0,-4043387000.0,-8187309000.0,-2780481000.0,-13389881000.0,,,,,,,,,,,,,
24,dart_PurchaseOfInvestmentProperty,투자부동산의 취득,Purchase of investment property,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,투자부동산의 취득,,,57793000.0,,,-5940000.0,319106000.0,,,,,,,,-24889000.0,-24889000.0,,,-232536000.0,-204683000.0,-24500000.0,,-402000.0,,,,-60744000.0,-59404000.0,-4740000.0,,-664383000.0,-626996000.0,-75785000.0,-2145000.0,-481937000.0,-44175000.0,,,,,,,,,,,,,,,,,,,
25,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동으로 인한 순현금흐름,유형자산의 취득,,-88181017000.0,404680134000.0,,,-72539814000.0,225753404000.0,,,-48742667000.0,373340834000.0,-301148003000.0,-218842070000.0,-181033342000.0,-1135451810000.0,-967383324000.0,-665996262000.0,-320307576000.0,-1272418034000.0,-967045464000.0,-643475308000.0,-257235264000.0,-1299746169000.0,-1096320989000.0,-709420342000.0,-262723938000.0,-1303510909000.0,-862479370000.0,-604773563000.0,-282085654000.0,-1095371977000.0,-855625359000.0,-489360171000.0,-206273104000.0,-1626702018000.0,-1377670411000.0,-899323205000.0,-466293632000.0,-1781271667000.0,-681281904000.0,-197959617000.0,-195586843000.0,,,,,,,,,,,,,
26,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,무형자산의 취득,,-2165594000.0,16034423000.0,,,-28092277000.0,5801348000.0,,,-849816000.0,24084198000.0,-21995421000.0,-20308615000.0,-13382249000.0,-57474567000.0,-40409668000.0,-25704155000.0,-11019125000.0,-52926465000.0,-40845730000.0,-24494710000.0,-12091940000.0,-64899898000.0,-54424882000.0,-39719595000.0,-21590470000.0,-99310726000.0,-69989197000.0,-49198767000.0,-22311425000.0,-81790855000.0,-52354687000.0,-42301065000.0,-20512294000.0,-70527207000.0,-66943003000.0,-54189939000.0,-32285954000.0,-109162190000.0,-69958518000.0,-38641547000.0,-24476972000.0,,,,,,,,,,,,,
27,entity00164830_udf_CF_202022711117493_CashFlowsFromUsedInInvestingActivities,기타비유동자산의 증가,Purchase sales of other intangible assets,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,기타비유동자산의 증가,,,-507753000.0,,,-854000.0,-967700000.0,-969744000.0,-967700000.0,,,,307896000.0,,-349474000.0,,,658166000.0,,3500000.0,136301000.0,89914000.0,-6018000.0,1869555000.0,1824257000.0,5889000.0,-10905411000.0,-7982712000.0,-4875557000.0,-4146709000.0,-20656454000.0,-14918432000.0,-11439832000.0,-4961065000.0,-29436442000.0,-21724814000.0,-18064519000.0,-12523469000.0,-52165173000.0,-60256639000.0,-6661857000.0,-1038347000.0,,,,,,,,,,,,,
28,entity00164830_udf_CF_202022711116262_CashFlowsFromUsedInInvestingActivities,연결범위변동(지배력의 취득),Change of Consolidated Scope( (acquisition of control)),현금흐름표 [abstract],투자활동으로 인한 순현금흐름,연결범위변동(지배력의 취득),,619471000.0,-31328427000.0,-20728428000.0,118100060000.0,-20728428000.0,,12310595000.0,12310595000.0,1295330000.0,-34611386000.0,182854268000.0,-19460753000.0,-15453962000.0,-1248534000.0,3498062000.0,-6377453000.0,,29517071000.0,,,,105916775000.0,,,,68456425000.0,59367372000.0,59367372000.0,34333981000.0,27725094000.0,25394344000.0,25188503000.0,,161442459000.0,64924649000.0,64924649000.0,,,,,,,,,,,,,,,,,,
29,entity00164830_udf_CF_2020227162833798_CashFlowsFromUsedInInvestingActivities,연결범위변동(지배력의 상실),Change of Consolidated Scope(loss of control),현금흐름표 [abstract],투자활동으로 인한 순현금흐름,연결범위변동(지배력의 상실),,619471000.0,137961709000.0,-20728428000.0,118100060000.0,-20728428000.0,12310595000.0,12310595000.0,12310595000.0,1295330000.0,312474691000.0,182854268000.0,-19460753000.0,-15453962000.0,-1248534000.0,3498062000.0,-6377453000.0,,29517071000.0,,,,105916775000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,entity00164830_udf_CF_2020227162852707_CashFlowsFromUsedInInvestingActivities,영업양수로 인한 변동,Change due to business concession,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,영업양수로 인한 변동,,,-18892947000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 순현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,,,742190892000.0,973249362000.0,353425848000.0,362439819000.0,121991254000.0,-329381195000.0,-705944525000.0,60216657000.0,431988086000.0,-2122517402000.0,-2663433697000.0,-1704704699000.0,612773924000.0,-875929545000.0,-778747627000.0,,394327763000.0,612696031000.0,1146381600000.0,,1600221300000.0,836844287000.0,-284411214000.0,-785457798000.0,-732156598000.0,1001729973000.0,347347669000.0,-519159975000.0,893602357000.0,3774048823000.0,3478762812000.0,2122179009000.0,1239303708000.0,598784616000.0,1349377454000.0,76736485000.0,12303134000.0,3103178041000.0,2382885051000.0,-308220795000.0,221848516000.0,,,,,,,,,,,,,
32,dart_ProceedsFromShortTermBorrowings,단기금융부채의 증가,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동으로 인한 순현금흐름,단기금융부채의 증가,,1114861678000.0,4315864846000.0,2244295717000.0,1553003757000.0,477626549000.0,3303992711000.0,2248422715000.0,2230702052000.0,533323957000.0,12892770854000.0,9569407669000.0,7478056221000.0,4958826175000.0,16337988694000.0,11674359840000.0,5070202776000.0,3425716942000.0,20633596894000.0,18591034912000.0,13799886912000.0,7903948587000.0,24421045435000.0,20895696314000.0,15908841428000.0,6840701290000.0,28384487181000.0,21361613713000.0,13282981282000.0,7207986163000.0,26389375077000.0,20583852739000.0,14230358655000.0,6437924749000.0,13098949870000.0,11217331728000.0,3028453000000.0,1936836222000.0,8885408499000.0,8427091158000.0,2161517064000.0,1337965244000.0,,,,,,,,,,,,,
